snapshot_date,asset_type,asset_name,quantity,price_per_unit,total_value,cost_basis,unrealized_gain_loss
2022-05-01,Stock,TSLA,21,236,4956,14500,-9544
2022-05-01,Crypto,Bitcoin,0.06248059,31000,1936.9,3500,-1563.1
2022-06-01,Stock,AAPL,28,138,3864,6000,-2136
2022-06-01,Stock,NVDA,60,160,9600,8000,1600
2022-06-01,Stock,TSLA,21,226,4746,14500,-9754
2022-06-01,Crypto,Bitcoin,0.06248059,20000,1249.61,3500,-2250.39
2022-07-01,Stock,AAPL,28,156,4368,6000,-1632
2022-07-01,Stock,NVDA,60,168,10080,8000,2080
2022-07-01,Stock,TSLA,21,249,5229,14500,-9271
2022-07-01,Crypto,Bitcoin,0.06248059,23000,1437.05,3500,-2062.95
2022-08-01,Stock,AAPL,28,157,4396,6000,-1604
2022-08-01,Stock,NVDA,60,152,9120,8000,1120
2022-08-01,Stock,TSLA,21,277,5817,14500,-8683
2022-08-01,Crypto,Bitcoin,0.06248059,23500,1468.29,3500,-2031.71
2022-09-01,Stock,AAPL,28,150,4200,6000,-1800
2022-09-01,Stock,NVDA,60,129,7740,8000,-260
2022-09-01,Stock,TSLA,21,265,5565,14500,-8935
2022-09-01,Crypto,Bitcoin,0.06248059,19500,1218.37,3500,-2281.63
2022-10-01,Stock,AAPL,28,153,4284,6000,-1716
2022-10-01,Stock,NVDA,60,133,7980,8000,-20
2022-10-01,Stock,TSLA,21,228,4788,14500,-9712
2022-10-01,Crypto,Bitcoin,0.06248059,20500,1280.85,3500,-2219.15
2022-11-01,Stock,AAPL,28,151,4228,6000,-1772
2022-11-01,Stock,NVDA,60,168,10080,8000,2080
2022-11-01,Stock,TSLA,21,194,4074,14500,-10426
2022-11-01,Crypto,Bitcoin,0.06248059,17000,1062.17,3500,-2437.83
2022-12-01,Stock,AAPL,28,130,3640,6000,-2360
2022-12-01,Stock,NVDA,60,147,8820,8000,820
2022-12-01,Stock,TSLA,21,123,2583,14500,-11917
2022-12-01,Crypto,Bitcoin,0.06248059,16500,1030.93,3500,-2469.07
2023-01-01,Stock,AAPL,28,144,4032,6000,-1968
2023-01-01,Stock,NVDA,60,184,11040,8000,3040
2023-01-01,Stock,TSLA,21,173,3633,14500,-10867
2023-01-01,Crypto,Bitcoin,0.06248059,23000,1437.05,3500,-2062.95
2023-02-01,Stock,AAPL,28,152,4256,6000,-1744
2023-02-01,Stock,NVDA,60,224,13440,8000,5440
2023-02-01,Stock,TSLA,21,207,4347,14500,-10153
2023-02-01,Crypto,Bitcoin,0.06248059,23500,1468.29,3500,-2031.71
2023-03-01,Stock,AAPL,28,164,4592,6000,-1408
2023-03-01,Stock,NVDA,60,266,15960,8000,7960
2023-03-01,Stock,TSLA,21,207,4347,14500,-10153
2023-03-01,Crypto,Bitcoin,0.06248059,28000,1749.46,3500,-1750.54
2023-04-01,Stock,AAPL,28,169,4732,6000,-1268
2023-04-01,Stock,NVDA,60,283,16980,8000,8980
2023-04-01,Stock,TSLA,21,185,3885,14500,-10615
2023-04-01,Crypto,Bitcoin,0.06248059,29000,1811.94,3500,-1688.06
2023-05-01,Stock,AAPL,28,177,4956,6000,-1044
2023-05-01,Stock,NVDA,60,306,18360,8000,10360
2023-05-01,Stock,TSLA,21,203,4263,14500,-10237
2023-05-01,Crypto,Bitcoin,0.06248059,27000,1686.98,3500,-1813.02
2023-06-01,Stock,AAPL,28,193,5404,6000,-596
2023-06-01,Stock,NVDA,60,418,25080,8000,17080
2023-06-01,Stock,TSLA,21,261,5481,14500,-9019
2023-07-01,Stock,AAPL,28,196,5488,6000,-512
2023-07-01,Stock,NVDA,60,449,26940,8000,18940
2023-07-01,Stock,TSLA,21,263,5523,14500,-8977
2023-08-01,Stock,AAPL,28,187,5236,6000,-764
2023-08-01,Stock,NVDA,60,472,28320,8000,20320
2023-08-01,Stock,TSLA,21,242,5082,14500,-9418
2023-09-01,Stock,AAPL,28,177,4956,6000,-1044
2023-09-01,Stock,NVDA,60,436,26160,8000,18160
2023-09-01,Stock,TSLA,21,250,5250,14500,-9250
2023-10-01,Stock,AAPL,28,178,4984,6000,-1016
2023-10-01,Stock,NVDA,60,420,25200,8000,17200
2023-10-01,Stock,TSLA,21,242,5082,14500,-9418
2023-11-01,Stock,AAPL,28,189,5292,6000,-708
2023-11-01,Stock,NVDA,60,467,28020,8000,20020
2023-11-01,Stock,TSLA,21,238,4998,14500,-9502
2023-12-01,Stock,AAPL,28,193,5404,6000,-596
2023-12-01,Stock,NVDA,60,495,29700,8000,21700
2023-12-01,Stock,TSLA,21,248,5208,14500,-9292
2024-01-01,Stock,AAPL,28,191,5348,6000,-652
2024-01-01,Stock,NVDA,60,549,32940,8000,24940
2024-01-01,Stock,TSLA,21,188,3948,14500,-10552
2024-02-01,Stock,AAPL,28,182,5096,6000,-904
2024-02-01,Stock,NVDA,60,661,39660,8000,31660
2024-02-01,Stock,TSLA,21,200,4200,14500,-10300
2024-03-01,Stock,AAPL,28,175,4900,6000,-1100
2024-03-01,Stock,NVDA,60,879,52740,8000,44740
2024-03-01,Stock,TSLA,21,175,3675,14500,-10825
2024-04-01,Stock,AAPL,28,169,4732,6000,-1268
2024-04-01,Stock,NVDA,60,838,50280,8000,42280
2024-04-01,Stock,TSLA,21,165,3465,14500,-11035
2024-05-01,Stock,AAPL,28,189,5292,6000,-708
2024-05-01,Stock,NVDA,60,949,56940,8000,48940
2024-05-01,Stock,TSLA,21,178,3738,14500,-10762
2024-06-01,Stock,AAPL,28,214,5992,6000,-8
2024-06-01,Stock,NVDA,60,123,7380,8000,-620
2024-06-01,Stock,TSLA,21,182,3822,14500,-10678
2024-07-01,Stock,AAPL,28,218,6104,6000,104
2024-07-01,Stock,NVDA,60,117,7020,8000,-980
2024-07-01,Stock,TSLA,21,220,4620,14500,-9880
2024-08-01,Stock,AAPL,28,226,6328,6000,328
2024-08-01,Stock,NVDA,60,125,7500,8000,-500
2024-08-01,Stock,TSLA,21,217,4557,14500,-9943
2024-09-01,Stock,AAPL,28,227,6356,6000,356
2024-09-01,Stock,NVDA,60,118,7080,8000,-920
2024-09-01,Stock,TSLA,21,250,5250,14500,-9250
2024-10-01,Stock,AAPL,28,225,6300,6000,300
2024-10-01,Stock,NVDA,60,136,8160,8000,160
2024-10-01,Stock,TSLA,21,262,5502,14500,-8998
2024-11-01,Stock,AAPL,28,237,6636,6000,636
2024-11-01,Stock,NVDA,60,146,8760,8000,760
2024-11-01,Stock,TSLA,21,330,6930,14500,-7570
2024-12-01,Stock,AAPL,28,248,6944,6000,944
2024-12-01,Stock,NVDA,60,131,7860,8000,-140
2024-12-01,Stock,TSLA,21,379,7959,14500,-6541
2024-12-01,Crypto,Bitcoin,0.00129905,95000,123.41,3500,-3376.59
2025-01-01,Stock,AAPL,28,228,6384,6000,384
2025-01-01,Stock,NVDA,60,140,8400,8000,400
2025-01-01,Stock,TSLA,21,385,8085,14500,-6415
2025-01-01,Crypto,Bitcoin,0.00129905,100000,129.91,3500,-3370.09
2025-02-01,Stock,AAPL,28,191,5348,6000,-652
2025-02-01,Stock,NVDA,60,120,7200,8000,-800
2025-02-01,Stock,TSLA,21,291,6111,14500,-8389
2025-02-01,Crypto,Bitcoin,0.00129905,94000,122.11,3500,-3377.89
2025-03-01,Stock,AAPL,28,169,4732,6000,-1268
2025-03-01,Stock,NVDA,60,123,7380,8000,-620
2025-03-01,Stock,TSLA,21,175,3675,14500,-10825
2025-03-01,Crypto,Bitcoin,0.00510004,83000,423.3,3500,-3076.7
2025-04-01,Stock,AAPL,28,181,5068,6000,-932
2025-04-01,Stock,NVDA,60,91,5460,8000,-2540
2025-04-01,Stock,TSLA,21,183,3843,14500,-10657
2025-04-01,Crypto,Bitcoin,0.00510004,86000,438.6,3500,-3061.4
2025-05-01,Stock,AAPL,28,192,5376,6000,-624
2025-05-01,Stock,NVDA,60,107,6420,8000,-1580
2025-05-01,Stock,TSLA,21,183,3843,14500,-10657
2025-05-01,Crypto,Bitcoin,0.00510004,67000,341.7,3500,-3158.3
2025-06-01,Stock,AAPL,28,207,5796,6000,-204
2025-06-01,Stock,NVDA,60,120,7200,8000,-800
2025-06-01,Stock,TSLA,21,196,4116,14500,-10384
2025-06-01,Crypto,Bitcoin,0.00510004,64000,326.4,3500,-3173.6
2025-07-01,Stock,AAPL,28,218,6104,6000,104
2025-07-01,Stock,NVDA,60,121,7260,8000,-740
2025-07-01,Stock,TSLA,21,246,5166,14500,-9334
2025-07-01,Crypto,Bitcoin,0.00510004,58000,295.8,3500,-3204.2
2025-08-01,Stock,AAPL,28,215,6020,6000,20
2025-08-01,Stock,NVDA,60,120,7200,8000,-800
2025-08-01,Stock,TSLA,21,235,4935,14500,-9565
2025-08-01,Crypto,Bitcoin,0.00676877,56000,379.05,3500,-3120.95
2025-09-01,Stock,AAPL,28,220,6160,6000,160
2025-09-01,Stock,NVDA,60,125,7500,8000,-500
2025-09-01,Stock,TSLA,21,240,5040,14500,-9460
2025-09-01,Crypto,Bitcoin,0.00615848,58000,357.19,3500,-3142.81
2025-10-01,Stock,AAPL,28,225,6300,6000,300
2025-10-01,Stock,NVDA,60,130,7800,8000,-200
2025-10-01,Stock,TSLA,21,250,5250,14500,-9250
2025-10-01,Crypto,Bitcoin,0.00615848,62000,381.83,3500,-3118.17
2025-11-01,Stock,AAPL,28,230,6440,6000,440
2025-11-01,Stock,NVDA,60,135,8100,8000,100
2025-11-01,Stock,TSLA,21,260,5460,14500,-9040
2025-11-01,Crypto,Bitcoin,0.00615848,68000,418.78,3500,-3081.22
2025-12-01,Stock,AAPL,28,235,6580,6000,580
2025-12-01,Stock,NVDA,60,140,8400,8000,400
2025-12-01,Stock,TSLA,21,270,5670,14500,-8830
2025-12-01,Crypto,Bitcoin,0.00615848,72000,443.41,3500,-3056.59
2026-01-01,Stock,AAPL,28,240,6720,6000,720
2026-01-01,Stock,NVDA,60,145,8700,8000,700
2026-01-01,Stock,TSLA,21,280,5880,14500,-8620
2026-01-01,Crypto,Bitcoin,0.00615848,75000,461.89,3500,-3038.11
2026-02-01,Stock,AAPL,28,245,6860,6000,860
2026-02-01,Stock,NVDA,60,150,9000,8000,1000
2026-02-01,Stock,TSLA,21,290,6090,14500,-8410
2026-02-01,Crypto,Bitcoin,0.00615848,78000,480.36,3500,-3019.64
2026-03-01,Stock,AAPL,28,250,7000,6000,1000
2026-03-01,Stock,NVDA,60,155,9300,8000,1300
2026-03-01,Stock,TSLA,21,300,6300,14500,-8200
2026-03-01,Crypto,Bitcoin,0.00615848,80000,492.68,3500,-3007.32
2026-04-01,Stock,AAPL,28,255,7140,6000,1140
2026-04-01,Stock,NVDA,60,160,9600,8000,1600
2026-04-01,Stock,TSLA,21,310,6510,14500,-7990
2026-04-01,Crypto,Bitcoin,0.06116791,78232,4785.29,3500,1285.29
2026-05-01,Stock,AAPL,28,260,7280,6000,1280
2026-05-01,Stock,NVDA,60,165,9900,8000,1900
2026-05-01,Stock,TSLA,21,320,6720,14500,-7780
2026-05-01,Crypto,Bitcoin,0.06116791,76000,4648.76,3500,1148.76
2026-06-01,Stock,AAPL,28,265,7420,6000,1420
2026-06-01,Stock,NVDA,60,170,10200,8000,2200
2026-06-01,Stock,TSLA,21,330,6930,14500,-7570
2026-06-01,Crypto,Bitcoin,0.06116791,74000,4526.43,3500,1026.43
2026-07-01,Stock,AAPL,28,270,7560,6000,1560
2026-07-01,Stock,NVDA,60,175,10500,8000,2500
2026-07-01,Stock,TSLA,21,340,7140,14500,-7360
2026-07-01,Crypto,Bitcoin,0.06116791,75000,4587.59,3500,1087.59
2026-08-01,Stock,AAPL,28,275,7700,6000,1700
2026-08-01,Stock,NVDA,60,180,10800,8000,2800
2026-08-01,Stock,TSLA,21,350,7350,14500,-7150
2026-08-01,Crypto,Bitcoin,0.06116791,76000,4648.76,3500,1148.76
2026-09-01,Stock,AAPL,28,332,9296,6000,3296
2026-09-01,Stock,NVDA,60,218,13080,8000,5080
2026-09-01,Stock,TSLA,21,365,7665,14500,-6835
2026-09-01,Crypto,Bitcoin,0.06116791,77095,4715.74,3500,1215.74
